,algorithm,ask,askSize,averageDailyVolume10Day,averageVolume,averageVolume10days,beta,bid,bidSize,circulatingSupply,currency,dayHigh,dayLow,dividendRate,dividendYield,exDividendDate,expireDate,fiftyDayAverage,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiveYearAvgDividendYield,forwardPE,fromCurrency,lastMarket,marketCap,maxAge,maxSupply,navPrice,open,openInterest,payoutRatio,previousClose,priceHint,priceToSalesTrailing12Months,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketVolume,startDate,strikePrice,toCurrency,totalAssets,tradeable,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingPE,twoHundredDayAverage,volume,volume24Hr,volumeAllCurrencies,yield,ytdReturn
MSFT,,152.65,1100,71417514,49333635,71417514,1.091844,153.5,1200,,USD,157.7477,150.82,2.04,0.0128999995,2020-05-20,-,161.74971,190.7,118.38,1.97,24.533873,,,1156956291072,1,,,153,,0.32930002,157.71,2,8.617989,157.7477,150.82,153,157.71,57969926,-,,,,True,1.94,0.0123010585,26.495384,154.18044,57969926,,,,
AAPL,,242.45,1100,62455585,49330169,62455585,1.292953,242.8,800,,USD,248.72,239.13,3.08,0.0121,2020-02-07,-,279.20456,327.85,170.27,1.6,15.807743,,,1054096883712,1,,,246.5,,0.2394,254.29,2,3.937855,248.72,239.13,246.5,254.29,44054638,-,,,,True,3.04,0.011954855,19.127432,271.0172,44054638,,,,
AMZN,,1911.05,1400,6325757,5500393,6325757,1.544734,1910.5,1300,,USD,1944.96,1893.62,,,-,-,1945.4572,2185.95,1626.03,,47.944206,,,949672083456,1,,,1932.97,,0,1949.72,2,3.3853748,1944.96,1893.62,1932.97,1949.72,3742635,-,,,,True,,,82.907425,1845.7506,3742635,,,,
FB,,160.8,1000,27578871,21198830,27578871,1.051464,160.5,1100,,USD,164.15,158.035,,,-,-,180.81943,224.2,137.1,,15.465117,,,454931808256,1,,,161.615,,0,166.8,2,6.434952,164.15,158.035,161.615,166.8,19507559,-,,,,True,,,24.821152,193.8938,19507559,,,,
BRKB,,176.75,900,,,,0.858273,175.5,1400,,USD,178.67,174.19,,,-,-,,178.67,174.19,,,,,,1,,,176.18,,,182.83,2,,178.67,174.19,176.18,182.83,8401977,-,,,,True,,,,,8401977,,,,
GOOGL,,1110,800,3641314,2480262,3641314,1.025336,1098.78,800,,USD,1129.42,1093.765,,,-,-,1286.5591,1530.74,1008.87,,18.701849,,,757735620608,1,,,1124,,0,1161.95,2,4.681513,1129.42,1093.765,1124,1161.95,2598519,-,,,,True,,,22.417265,1314.9076,2598519,,,,
GOOG,,1113,900,3330114,2293293,3330114,1.025336,1110.04,800,,USD,1129.5,1097.45,,,-,-,1289.0682,1532.106,1013.536,,18.638233,,,759594090496,1,,,1122,,0,1162.81,2,4.692995,1129.5,1097.45,1122,1162.81,2312280,-,,,,True,,,22.488865,1315.8756,2312280,,,,
JNJ,,129.7,900,16725685,10542861,16725685,0.75376,129.05,800,,USD,130.23,125.5,3.8,0.029000001,2020-02-24,-,136.84114,154.5,109.16,2.68,13.375908,,,339588218880,1,,,127.7,,0.6661,131.13,2,4.138342,130.23,125.5,127.7,131.13,11872325,-,,,,True,3.75,0.028597575,22.879217,138.02504,11872325,,,,
JPM,,85.09,900,29983800,19726106,29983800,1.177355,84.87,900,,USD,86.56,83.25,3.6,0.04,2020-04-03,-,109.98657,141.1,76.91,2.44,7.8401484,,,259320938496,1,,,85.1,,0.3172,90.03,2,2.3565848,86.56,83.25,85.1,90.03,26992611,-,,,,True,3.4,0.03776519,7.869403,124.40358,26992611,,,,
V,,154.8,900,20540071,12934796,20540071,0.929532,153.15,1000,,USD,158.07,151.4162,1.2,0.0074,2020-02-13,-,179.51172,214.17,133.93,0.63,22.85224,,,339274891264,1,,,156.32,,0.1916,161.12,2,14.421887,158.07,151.4162,156.32,161.12,12274429,-,,,,True,1.1,0.00682721,27.955084,183.46416,12274429,,,,
PG,,110.34,900,16331871,10443679,16331871,0.424386,109.6,800,,USD,112.18,107,2.98,0.0271,2020-01-23,-,116.155426,128.09,94.34,3.09,20.864506,,,269984972800,1,,,107.95,,1.6789,110,2,3.879429,112.18,107,107.95,110,10661774,-,,,,True,2.955,0.026863636,61.28363,121.324745,10661774,,,,
UNH,,238.09,800,7534142,5948101,7534142,0.710213,235.46,1100,,USD,246.605,235.44,4.32,0.0173,2020-03-13,-,263.546,306.71,187.72,1.44,12.563262,,,225115357184,1,,,238.69,,0.2889,249.38,2,0.9296333,246.605,235.44,238.69,249.38,4436497,-,,,,True,4.14,0.01660117,16.561062,264.91022,4436497,,,,
INTC,,52.26,1200,41517285,31237201,41517285,0.955661,51.71,1300,,USD,54.68,51.435,1.32,0.024400001,2020-05-06,-,56.341713,69.29,42.86,2.66,10.566192,,,221890756608,1,,,52.5,,0.2675,54.12,2,3.083315,54.68,51.435,52.5,54.12,29586562,-,,,,True,1.26,0.023281597,11.014862,57.024746,29586562,,,,
VZ,,53.18,800,31182800,21119116,31182800,0.508313,53.01,1300,,USD,53.45,52.161,2.46,0.0458,2020-04-09,-,55.308,62.22,48.84,4.48,10.3359375,,,219088797696,1,,,52.5,,0.5237,53.73,2,1.661425,53.45,52.161,52.5,53.73,18081016,-,,,,True,2.435,0.04531919,11.380645,58.900585,18081016,,,,
MA,,229,1000,9971871,6469817,9971871,0.988915,228.77,1800,,USD,237.1,227.1,1.6,0.0066000004,2020-04-08,-,281.67715,347.25,199.99,0.59,22.906815,,,229778194432,1,,,230.94,,0.16620001,241.56,2,13.610033,237.1,227.1,230.94,241.56,6424282,-,,,,True,1.39,0.005754264,28.79219,288.19043,6424282,,,,
T,,28.19,2200,66145485,46151277,66145485,0.582739,28,1100,,USD,28.58,27.7,2.08,0.0714,2020-04-08,-,34.511143,39.7,26.08,5.51,7.440318,,,201486237696,1,,,28.38,,1.0847,29.15,2,1.111998,28.58,27.7,28.38,29.15,52975735,-,,,,True,2.05,0.070325896,14.802111,37.230804,52975735,,,,
HD,,178.72,800,9997100,6529720,9997100,0.931116,178.75,900,,USD,182.76,175,6,0.0321,2020-03-11,-,211.94371,247.36,140.63,2.07,15.977638,,,191980797952,1,,,175.91,,0.53069997,186.71,2,1.7417175,182.76,175,175.91,186.71,7719152,-,,,,True,5.58,0.029885918,17.427317,223.51167,7719152,,,,
MRK,,74.95,1100,16083900,13705254,16083900,0.692003,73.26,800,,USD,75.47,72.99,2.44,0.0317,2020-03-13,-,77.66314,92.64,65.25,2.99,11.751593,,,187176747008,1,,,74.66,,0.59319997,76.94,2,3.9960876,75.47,72.99,74.66,76.94,11130017,-,,,,True,2.2,0.02859371,19.370079,84.19219,11130017,,,,
PFE,,31.8,800,38342514,32722558,38342514,0.692794,31.55,1200,,USD,32.28,31.53,1.52,0.0466,2020-01-30,-,33.53057,44.56,27.88,3.52,10.209003,,,176137568256,1,,,31.92,,0.5017,32.64,2,3.4036245,32.28,31.53,31.92,32.64,24688846,-,,,,True,1.44,0.04411765,11.074293,36.70387,24688846,,,,
DIS,,96.2,900,27584314,17932964,27584314,1.035629,95.1,1100,,USD,97.4,92.56,1.76,0.0182,2019-12-13,-,113.85314,153.41,79.07,1.43,16.536585,,,171372363776,1,,,93.5,,0.3154,96.6,2,2.281163,97.4,92.56,93.5,96.6,18019129,-,,,,True,1.76,0.018219462,15.97442,133.10255,18019129,,,,
BAC,,19.91,29200,122850385,78944448,122850385,1.625494,19.97,800,,USD,20.35,19.51,0.72,0.0339,2020-03-05,-,26.642286,35.72,17.95,1.55,6.6565657,,,172488704000,1,,,19.93,,0.24,21.23,2,2.0154788,20.35,19.51,19.93,21.23,82400278,-,,,,True,0.66,0.031088084,7.189091,31.035475,82400278,,,,
KO,,42.5,800,35215928,19772348,35215928,0.433095,42.31,1200,,USD,43.65,41.8,1.64,0.037100002,2020-03-13,-,51.681427,60.13,36.27,3.19,18.393013,,,180838006784,1,,,42.48,,0.7729,44.25,2,4.852627,43.65,41.8,42.48,44.25,20257095,-,,,,True,1.6,0.036158193,20.347826,53.91263,20257095,,,,
PEP,,119,800,9871014,6513674,9871014,0.543151,118.26,800,,USD,122.3,115.665,3.82,0.0318,2020-03-05,-,131.15572,147.2,101.42,2.84,18.8992,,,164706533376,1,,,117.27,,0.7293,120.1,2,2.4524133,122.3,115.665,117.27,120.1,6872957,-,,,,True,3.792,0.03157369,22.715385,135.61658,6872957,,,,
CSCO,,38.47,2200,36259900,31158637,36259900,1.195566,38.45,1400,,USD,38.86,37.8742,1.44,0.0366,2020-04-02,-,40.73057,58.26,32.4,2.97,11.650456,,,162552938496,1,,,38.17,,0.5447,39.31,2,3.1533062,38.86,37.8742,38.17,39.31,26790667,-,,,,True,1.4,0.035614345,14.949299,45.52883,26790667,,,,
NFLX,,366.9,3100,9573114,7837306,9573114,1.232779,365.82,1300,,USD,380.233,361.02,,,-,-,360.49228,393.52,252.28,,43.394512,,,159760842752,1,,,376.05,,0,375.5,2,7.926042,380.233,361.02,376.05,375.5,6672454,-,,,,True,,,88.15496,320.6576,6672454,,,,
NVDA,,245.8,2200,19373471,13608175,19373471,1.673,245.7,800,,USD,261.52,241.28,0.64,0.0023999999,2020-02-27,-,257.11002,316.32,132.6,0.62,26.594091,,,148758839296,1,,,255.65,,0.1416,263.6,2,13.6251,261.52,241.28,255.65,263.6,16422828,-,,,,True,0.64,0.002427921,53.77655,225.56306,16422828,,,,
WMT,,114.7,1400,13582885,9344014,13582885,0.432304,114.66,900,,USD,115.53,111.8,2.16,0.019,2020-05-07,-,114.85457,128.08,96.79,2.45,20.94312,,,323276439552,1,,,112.15,,0.4085,113.62,2,0.61698216,115.53,111.8,112.15,113.62,9217063,-,,,,True,2.12,0.018658685,21.992292,117.317665,9217063,,,,
XOM,,38.19,900,51567114,32423911,51567114,1.117181,38.11,1300,,USD,38.7,36.34,3.48,0.0917,2020-02-10,-,46.639427,83.49,30.11,4.02,16.829596,,,158834081792,1,,,36.86,,1.0208,37.97,2,0.62145793,38.7,36.34,36.86,37.97,35436328,-,,,,True,3.43,0.090334475,11.176295,63.071606,35436328,,,,
CMCSA,,32.93,1000,38336314,28858148,38336314,0.957244,32.33,3000,,USD,33.76,32.055,0.92,0.026800001,2020-03-31,-,39.942,47.74,31.71,1.74,9.765059,,,147609223168,1,,,33.16,,0.29680002,34.38,2,1.354934,33.76,32.055,33.16,34.38,26097173,-,,,,True,0.84,0.024432808,11.45583,43.575768,26097173,,,,
ADBE,,303,3200,5369485,3673095,5369485,0.968329,301,800,,USD,309.6105,298.34,,,2005-03-24,-,336.2597,386.75,255.13,,26.917784,,,145565155328,1,,,307,,0,318.24,2,12.4827585,309.6105,298.34,307,318.24,3902957,-,,,,True,,,45.644794,314.66388,3902957,,,,
ABT,,76.8,1200,17637028,8597945,17637028,1.153602,76.55,1000,,USD,77.38,75.35,1.44,0.0182,2020-04-14,-,79.91171,92.45,61.61,1.96,19.58312,,,135025836032,1,,,77,,0.6214,78.91,2,4.232254,77.38,75.35,77,78.91,12030017,-,,,,True,1.32,0.016727917,37.169903,83.558685,12030017,,,,
CVX,,69.87,1000,22436057,12723014,22436057,1.064924,69.76,1400,,USD,72.29,67.61,5.16,0.0712,2020-02-14,-,87.36943,127.34,51.6,4.12,19.044445,,,128846176256,1,,,69.51,,3.0909,72.46,2,0.92121816,72.29,67.61,69.51,72.46,13935581,-,,,,True,4.76,0.06569142,44.51948,109.59365,13935581,,,,
BMY,,55.54,1100,20172971,16368891,20172971,0.779097,54.62,1400,,USD,55.7,53.52,1.8,0.0323,2020-04-02,-,58.008,68.34,42.48,2.71,7.418133,,,124028051456,1,,,53.62,,0.8358,55.74,2,4.7438536,55.7,53.52,53.62,55.74,13059624,-,,,,True,1.68,0.030139934,27.273632,58.436714,13059624,,,,
COST,,288.57,1000,5448328,3425717,5448328,0.92399,286.49,1200,,USD,288.8,280.9,2.6,0.0091,2020-02-06,-,302.85773,325.26,233.05,1.01,30.770388,,,126636310528,1,,,282.36,,0.3052,285.13,2,0.7997241,288.8,280.9,282.36,285.13,3745783,-,,,,True,2.6,0.009118647,33.663574,299.3229,3745783,,,,
MCD,,158.65,900,8127200,5267782,8127200,0.489311,158.31,1200,,USD,161.44,156.35,5,0.030199999,2020-02-28,-,187.10286,221.93,124.23,2.65,17.912798,,,117907349504,1,,,166.84,,0.6003,165.35,2,5.5942564,161.44,156.35,166.84,165.35,4558965,-,,,,True,4.73,0.028605986,20.072334,198.79774,4558965,,,,
MDT,,84.11,800,11894871,6896159,11894871,0.673792,82.05,800,,USD,87.69,82.98,2.16,0.024,2020-03-26,-,97.26086,122.15,72.13,2.02,14.377778,,,112721698816,1,,,91.68,,0.5381,90.18,2,3.628926,87.69,82.98,91.68,90.18,7819825,-,,,,True,2.12,0.023508538,20.975061,108.18241,7819825,,,,
AMGN,,199.1,1300,4345085,3239391,4345085,1.127474,192.21,900,,USD,201.38,195,6.4,0.031600002,2020-05-15,-,207.38571,244.99,166.3,2.49,11.622209,,,116669718528,1,,,197.56,,0.45029998,202.73,2,4.993995,201.38,195,197.56,202.73,2681846,-,,,,True,5.8,0.028609483,15.357919,217.53671,2681846,,,,
NEE,,229.44,800,4481042,3191238,4481042,0.275534,215.26,1100,,USD,231.99,213.04,5.6,0.0233,2020-02-27,-,247.52171,283.35,174.8,2.58,22.155329,,,106707050496,1,,,242.11,,0.6443,240.62,2,5.5565014,231.99,213.04,242.11,240.62,3376450,-,,,,True,5,0.020779653,28.122421,241.08986,3376450,,,,
LLY,,136.53,900,6379600,4839274,6379600,0.361045,132.06,1300,,USD,137.19,132.98,2.96,0.021300001,2020-02-13,-,135.63115,147.87,101.36,2.38,17.648125,,,130559123456,1,,,134,,0.5202,138.72,2,5.8495545,137.19,132.98,134,138.72,3204528,-,,,,True,2.58,0.018598616,15.340156,125.37672,3204528,,,,
TMO,,270.99,900,2811471,2187614,2811471,1.155186,270.5,800,,USD,282.99,270.405,0.88,0.0031,2020-03-13,-,304.02457,342.26,250.21,0.34,18.482203,,,109757472768,1,,,276.51,,0.0829,283.6,2,4.297137,282.99,270.405,276.51,283.6,1885033,-,,,,True,0.76,0.0026798306,30.010906,307.69693,1885033,,,,
PM,,74.48,900,9457342,6687222,9457342,0.929532,70.13,1200,,USD,71.99,69.2755,4.68,0.0641,2020-03-20,-,79.16,90.17,56.01,4.76,12.157266,,,110741667840,1,,,69.77,,1.0022,72.96,2,3.71554,71.99,69.2755,69.77,72.96,5620896,-,,,,True,4.62,0.063322365,15.427332,81.61635,5620896,,,,
ABBV,,73.95,1000,16718757,12331819,16718757,0.791765,72.71,1000,,USD,73.99,71.43,4.72,0.062,2020-04-14,-,83.63114,97.86,62.55,3.85,7.0800385,,,108417105920,1,,,72.12,,0.8106,76.19,2,3.2590966,73.99,71.43,72.12,76.19,12717076,-,,,,True,4.39,0.057619106,13.905302,83.16956,12717076,,,,
PYPL,,92.35,800,11187685,9530148,11187685,0.920029,91.31,800,,USD,94.67,90.38,,,-,-,106.599144,124.45,82.07,,22.179611,,,107185078272,1,,,92.72,,0,95.74,2,6.0311213,94.67,90.38,92.72,95.74,9628376,-,,,,True,,,44.144928,107.06701,9628376,,,,
WFC,,26.8,4000,44511271,32728211,44511271,1.15281,26.63,4000,,USD,27.37,26.2,2.04,0.071100004,2020-02-06,-,37.15286,54.75,25.11,3.13,6.528255,,,108655362048,1,,,27.0197,,0.4741,28.7,2,1.3177055,27.37,26.2,27.0197,28.7,48387481,-,,,,True,1.92,0.06689895,6.5604935,47.65518,48387481,,,,
ORCL,,49,1800,20981471,14432374,20981471,1.064133,48.7,900,,USD,48.99,46.04,0.96,0.0199,2020-04-08,-,49.596573,60.5,39.71,1.52,11.681055,,,153610878976,1,,,46.55,,0.3057,48.33,2,3.8628697,48.99,46.04,46.55,48.33,17109187,-,,,,True,0.96,0.019863438,15.31761,53.37708,17109187,,,,
ACN,,166,1000,4563766,3104709,4563766,1.086302,154,800,,USD,160.8177,152.58,3.2,0.0196,2020-04-15,-,181.488,216.39,137.15,1.79,19.1199,,,98674540544,1,,,158.57,,0.39900002,163.26,2,2.209669,160.8177,152.58,158.57,163.26,2881664,-,,,,True,2.4,0.014700479,20.180038,193.93379,2881664,,,,
NKE,,79.79,1200,16506728,9770522,16506728,0.860649,79.01,800,,USD,81.18,78.53,0.98,0.0117999995,2020-02-28,-,86.59114,105.62,60,1.08,27.800003,,,123390427136,1,,,79.49,,0.3432,82.74,2,2.9895437,81.18,78.53,79.49,82.74,9409773,-,,,,True,0.93,0.01124003,29.246954,93.30708,9409773,,,,
IBM,,105.3,1100,7405942,6798003,7405942,1.305621,105.21,1000,,USD,109.92,104.521,6.48,0.0584,2020-02-07,-,125.42486,158.75,90.56,3.95,7.5803895,,,93407215616,1,,,106.36,,0.60830003,110.93,2,1.2107693,109.92,104.521,106.36,110.93,5829690,-,,,,True,6.43,0.05796448,9.950786,134.83679,5829690,,,,
UNP,,136.49,800,5505771,4543320,5505771,1.103721,134.1,800,,USD,137.97,132.5022,3.88,0.0275,2020-02-27,-,152.52315,188.96,105.08,2.19,13.527255,,,94213865472,1,,,134.03,,0.4415,141.04,2,4.340053,137.97,132.5022,134.03,141.04,4742448,-,,,,True,3.7,0.026233694,16.28759,168.07169,4742448,,,,
