,algorithm,ask,askSize,averageDailyVolume10Day,averageVolume,averageVolume10days,beta,bid,bidSize,circulatingSupply,currency,dayHigh,dayLow,dividendRate,dividendYield,exDividendDate,expireDate,fiftyDayAverage,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiveYearAvgDividendYield,forwardPE,fromCurrency,lastMarket,marketCap,maxAge,maxSupply,navPrice,open,openInterest,payoutRatio,previousClose,priceHint,priceToSalesTrailing12Months,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketVolume,startDate,strikePrice,toCurrency,totalAssets,tradeable,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingPE,twoHundredDayAverage,volume,volume24Hr,volumeAllCurrencies,yield,ytdReturn
HON,,131,800,5858514,4019775,5858514,1.12114,128.61,1100,,USD,131.28,125.5,3.6,0.0269,2020-02-27,-,153.08371,184.06,101.08,1.98,14.739773,,,91742199808,1,,,128.28,,0.3995,133.79,2,2.4991746,131.28,125.5,128.28,133.79,4131338,-,,,,True,3.36,0.025113985,15.423306,168.63174,4131338,,,,
GILD,,72.65,900,18219457,19736600,18219457,0.985748,72.51,900,,USD,74.39,72,2.72,0.0358,2020-03-12,-,72.25686,85.97,60.89,,11.276828,,,91291541504,1,,,74.32,,0.59720004,74.76,2,4.0666194,74.39,72,74.32,74.76,12177608,-,,,,True,2.52,0.033707865,17.182467,66.905624,12177608,,,,
TXN,,97.91,900,9266842,6907033,9266842,1.151227,95.09,1800,,USD,100.37,96.07,3.6,0.036,2020-01-30,-,113.066,135.7,93.09,2.45,17.810661,,,90464837632,1,,,96.1,,0.61259997,99.93,2,6.2897058,100.37,96.07,96.1,99.93,8229664,-,,,,True,3.21,0.032122485,18.50105,122.247734,8229664,,,,
C,,39.19,1300,30855328,21586470,30855328,1.764845,38.91,3000,,USD,40.25,38,2.04,0.0484,2020-01-31,-,58.02543,83.11,32,1.43,4.4935822,,,80802062336,1,,,39.14,,0.23879999,42.12,2,1.2230136,40.25,38,39.14,42.12,28862587,-,,,,True,1.92,0.045584045,4.792185,70.462776,28862587,,,,
DHR,,129.56,1100,5819857,3440120,5819857,0.854315,128.72,800,,USD,135.57,128.03,0.72,0.0052,2020-03-26,-,145.10771,169.19,119.6,0.58,20.926828,,,89690382336,1,,,133.36,,0.2086,138.41,2,5.0075307,135.57,128.03,133.36,138.41,3643320,-,,,,True,0.68,0.00491294,31.746424,146.92482,3643320,,,,
LMT,,340.9,800,2768557,1830803,2768557,1.012668,335.21,1000,,USD,340.99,322.0101,9.6,0.028299998,2020-02-28,-,368.84058,442.53,266.11,2.59,12.793651,,,95417950208,1,,,324.83,,0.41,338.95,2,1.5952978,340.99,322.0101,324.83,338.95,1976313,-,,,,True,9,0.026552588,15.422322,388.6686,1976313,,,,
BA,,132.89,900,51380357,16830203,51380357,1.349168,132.8,3200,,USD,144.38,130,,,2020-02-13,-,232.62543,398.66,89,2.35,9.804951,,,73744334848,1,,,138.91,,,149.14,2,0.9632354,144.38,130,138.91,149.14,41377948,-,,,,True,8.22,0.055116,,319.972,41377948,,,,
MMM,,134.59,2900,6207285,4771235,6207285,1.087885,132.01,800,,USD,135.835,131.01,5.88,0.0431,2020-02-13,-,145.6063,219.75,114.04,2.65,13.883211,,,76590252032,1,,,132,,0.7375,136.51,2,2.3833163,135.835,131.01,132,136.51,3583931,-,,,,True,5.76,0.042194713,17.047375,162.79533,3583931,,,,
SBUX,,63,800,21487214,12628309,21487214,0.583531,62.62,1400,,USD,64.76,61.58,1.64,0.0249,2020-02-05,-,74.38114,99.72,50.02,1.64,19.507788,,,73497092096,1,,,67.18,,0.4885,65.74,2,2.7248394,64.76,61.58,67.18,65.74,11761535,-,,,,True,1.54,0.023425616,20.510973,83.66489,11761535,,,,
QCOM,,66.5,2200,14073000,12020409,14073000,1.465558,66.03,1000,,USD,68.7,65,2.48,0.0367,2020-03-04,-,76.11943,96.17,55.79,3.56,10.983334,,,75326341120,1,,,65,,0.70449996,67.65,2,3.073541,68.7,65,65,67.65,14167923,-,,,,True,2.48,0.036659274,18.700342,82.39161,14167923,,,,
CVS,,58.9,800,16778742,10696609,16778742,0.958828,58.34,900,,USD,58.87,57.2,2,0.0337,2020-04-22,-,62.478287,77.03,51.72,2.43,7.69657,,,76084690944,1,,,57.75,,0.3937,59.33,2,0.29747888,58.87,57.2,57.75,59.33,10987383,-,,,,True,2,0.033709757,11.484252,68.07569,10987383,,,,
UTX,,91.79,800,10917400,7121024,10917400,1.263657,91.38,900,,USD,92,88.325,2.94,0.0312,2020-02-13,-,119.92971,158.44,69.02,2.33,10.418472,,,79141494784,1,,,89.48,,0.4587,94.33,2,1.027198,92,88.325,89.48,94.33,12183530,-,,,,True,2.94,0.03116718,14.254291,139.18036,12183530,,,,
MO,,37.2,800,18689157,12357635,18689157,0.585114,37.56,1300,,USD,37.98,36.69,3.36,0.086899996,2020-03-24,-,40.586,57.11,30.95,4.61,8.070816,,,69893300224,1,,,36.85,,,38.67,2,3.5306778,37.98,36.69,36.85,38.67,18287479,-,,,,True,3.28,0.08482028,,45.390366,18287479,,,,
MDLZ,,49.49,1100,10831128,9307183,10831128,0.768012,48.33,800,,USD,49.895,48.155,1.14,0.0228,2020-03-30,-,52.990284,59.96,41.19,1.8,17.080702,,,69755518976,1,,,48.38,,0.4113,50.08,2,2.696595,49.895,48.155,48.38,50.08,7114341,-,,,,True,1.09,0.021765176,18.36981,53.91584,7114341,,,,
GE,,7.11,21500,112480114,84221748,112480114,1.135391,7.11,21500,,USD,7.55,7,0.04,0.005,2020-03-06,-,9.593714,13.26,5.9,3.24,10.057143,,,61248000000,1,,,7.52,,,7.94,2,0.64326674,7.55,7,7.52,7.94,98684678,-,,,,True,0.04,0.005037783,,10.423504,98684678,,,,
CHTR,,423.36,800,2244585,1865219,2244585,1.048297,423.27,800,,USD,434.83,413.39,,,-,-,473.606,546.54,343.15,,21.30804,,,99306127360,1,,,418.3,,0,436.31,2,2.1699617,434.83,413.39,418.3,436.31,1341029,-,,,,True,,,56.91678,469.94498,1341029,,,,
LOW,,81.64,900,8105171,5905583,8105171,1.248614,79.01,800,,USD,83.92,79.08,2.2,0.0256,2020-04-21,-,100.615425,126.73,60,1.7,11.001368,,,60712996864,1,,,80.74,,0.38799998,86.05,2,0.8415063,83.92,79.08,80.74,86.05,7920061,-,,,,True,2.13,0.02475305,14.648452,111.78591,7920061,,,,
UPS,,90.38,1000,5613914,5300729,5613914,1.220902,90.08,1100,,USD,92.88,89.08,4.04,0.0432,2020-02-24,-,96.26685,125.31,82,3.08,10.916667,,,77595025408,1,,,90.91,,0.7515,93.42,2,1.0472511,92.88,89.08,90.91,93.42,5444010,-,,,,True,3.84,0.04110469,17.688845,111.81854,5444010,,,,
CAT,,111.65,800,6747885,4767259,6747885,1.41726,109.5,800,,USD,116.75,109.5,4.12,0.0355,2020-01-17,-,117.07714,150.55,87.5,3.03,12.263216,,,61251743744,1,,,112.09,,0.352,116.04,2,1.1385082,116.75,109.5,112.09,116.04,6763214,-,,,,True,3.95,0.034039985,10.3677845,133.32759,6763214,,,,
DUK,,77.97,800,5974571,4414283,5974571,0.210609,76.51,800,,USD,79.7472,76.36,3.78,0.0467,2020-02-13,-,90.06057,103.79,62.13,4.23,14.20696,,,56938627072,1,,,77.92,,0.73870003,80.88,2,2.309134,79.7472,76.36,77.92,80.88,4478400,-,,,,True,3.745,0.046303164,15.336101,92.03759,4478400,,,,
AGN,,175.2,1000,4366900,3680466,4366900,1.490894,170.86,900,,USD,175.95,173.04,2.96,0.0168,2020-04-15,-,185.83458,202.22,114.27,,9.722068,,,57542443008,1,,,173.49,,,177.1,2,3.5765307,175.95,173.04,173.49,177.1,2935906,-,,,,True,2.96,0.01671372,,182.86249,2935906,,,,
AXP,,78.8,800,8378300,6011708,8378300,1.089469,77.86,2200,,USD,81.31,77,1.72,0.0201,2020-04-02,-,105.882,138.13,67,1.49,8.765765,,,62721757184,1,,,80.65,,0.2053,85.61,2,1.5687106,81.31,77,80.65,85.61,8291915,-,,,,True,1.64,0.01915664,9.742178,117.985916,8291915,,,,
BIIB,,299.5,800,2482571,2047203,2482571,0.877276,294.5,800,,USD,313.462,290.41,,,-,-,310.7086,374.99,215.78,,9.026469,,,51047747584,1,,,308.81,,0,316.38,2,3.5504315,313.462,290.41,308.81,316.38,2177809,-,,,,True,,,9.333863,285.8571,2177809,,,,
CL,,66,1300,7817742,5796979,7817742,0.707838,65.01,800,,USD,65.85,64.09,1.76,0.026500002,2020-04-17,-,69.933426,77.41,58.49,2.32,21.213594,,,56205651968,1,,,64.75,,0.6218,66.36,2,3.5815747,65.85,64.09,64.75,66.36,4077582,-,,,,True,1.71,0.025768535,23.836365,69.51708,4077582,,,,
SO,,50.69,1000,8906528,6308059,8906528,0.391132,50.14,900,,USD,52.43,49.26,2.48,0.0458,2020-02-14,-,60.523144,71.1,41.96,4.61,15.193939,,,52859092992,1,,,51.9,,0.5467,54.14,2,2.46786,52.43,49.26,51.9,54.14,6784282,-,,,,True,2.46,0.045437757,11.142222,62.537445,6784282,,,,
BKNG,,1299,1300,771671,641414,771671,0.940617,1265.06,800,,USD,1328.34,1248.18,,,-,-,1577.2952,2094,1107.29,,11.860007,,,52215418880,1,,,1293.81,,0,1345.32,2,3.4657784,1328.34,1248.18,1293.81,1345.32,557371,-,,,,True,,,11.372116,1873.0255,557371,,,,
BLK,,407.14,1300,1414614,968558,1414614,1.526524,406.36,1400,,USD,424.5,401.9,14.52,0.033,2020-03-04,-,464.80658,576.81,323.98,2.48,12.902962,,,63803875328,1,,,418.11,,0.4643,439.97,2,4.388464,424.5,401.9,418.11,439.97,1102389,-,,,,True,13.2,0.030002045,14.405206,480.21722,1102389,,,,
GS,,148,900,5628242,4296204,5628242,1.364212,145.52,900,,USD,149.57,145,5,0.0323,2020-02-28,-,189.77971,250.46,130.85,1.46,5.7930617,,,49961447424,1,,,146.1,,0.1973,154.59,2,1.4081182,149.57,145,146.1,154.59,4565009,-,,,,True,4.15,0.026845206,6.908373,214.4797,4565009,,,,
USB,,32.64,1300,13361871,9987895,13361871,1.142517,31.76,900,,USD,33,31.26,1.68,0.048800003,2020-03-30,-,42.642857,61.11,28.59,2.44,7.374134,,,48573833216,1,,,32.53,,0.3798,34.45,2,2.2977214,33,31.26,32.53,34.45,10671171,-,,,,True,1.58,0.04586357,7.6754813,53.288612,10671171,,,,
TGT,,95.5,900,6993842,6165859,6993842,0.618368,95.27,900,,USD,96.14,91.29,2.64,0.028399998,2020-05-19,-,105.64057,130.24,70.03,3.19,13.068586,,,47726645248,1,,,91.64,,0.41009998,92.97,2,0.61100274,96.14,91.29,91.64,92.97,8476038,-,,,,True,2.6,0.02796601,14.972497,113.677666,8476038,,,,
MS,,31.95,1200,24922985,18061940,24922985,1.37688,31.66,1400,,USD,32.41,31.16,1.4,0.041199997,2020-01-30,-,42.020287,57.57,27.2,2.13,5.8125,,,48454488064,1,,,31.68,,0.2505,34,2,1.1698613,32.41,31.16,31.68,34,23392442,-,,,,True,1.35,0.039705884,6.0924854,46.916203,23392442,,,,
RTN,,123.9,900,4351485,3053206,4351485,0.932699,122,800,,USD,125.38,120.18,3.77,0.0287,2020-01-07,-,175.12686,233.48,103,1.96,8.713879,,,34089531392,1,,,123.94,,0.3163,131.15,2,1.1684101,125.38,120.18,123.94,131.15,5040286,-,,,,True,3.77,0.028745713,10.267528,204.26767,5040286,,,,
EXC,,34.1,2200,8745257,7369327,8745257,0.370546,33.48,1300,,USD,35.78,32.945,1.53,0.0416,2020-02-19,-,41.759144,51.18,29.28,3.46,11.2348995,,,32607174656,1,,,35.2,,0.48169997,36.81,2,0.94683707,35.78,32.945,35.2,36.81,5835527,-,,,,True,1.45,0.03939147,11.122924,45.03496,5835527,,,,
WBA,,43.6,800,9009971,7258461,9009971,0.889944,43.53,900,,USD,46.4,42.61,1.83,0.04,2020-02-18,-,48.107716,64.5,40.52,2.24,7.1359863,,,38118641664,1,,,45.07,,0.44,45.75,2,0.277404,46.4,42.61,45.07,45.75,6797972,-,,,,True,1.795,0.039234973,10.554329,54.272335,6797972,,,,
COP,,30.25,800,13722071,10074409,13722071,1.204275,29.62,800,,USD,30.53,28.825,1.68,0.0545,2020-02-13,-,41.820286,68.22,20.84,3.02,15.671958,,,31896594432,1,,,29.32,,0.2086,30.8,2,0.9565343,30.53,28.825,29.32,30.8,10545795,-,,,,True,1.335,0.04334416,4.628125,55.28051,10545795,,,,
GD,,130.8,800,2738714,2102259,2738714,,125.25,1100,,USD,129,125.19,,,-,-,153.91685,193.76,100.55,,9.430052,,,36898480128,1,,,126.71,,,132.31,2,,129,125.19,126.71,132.31,1399321,-,,,,True,4.08,0.030836672,10.634391,174.06358,1399321,,,,
ALL,,87.79,2900,3013562,2183438,3013562,0.901821,81.51,1100,,USD,88.8,85.35,2.16,0.0235,2020-02-28,-,101.04943,125.92,64.13,1.8,7.8474116,,,27381368832,1,,,86.49,,0.1426,91.73,2,0.6129014,88.8,85.35,86.49,91.73,2629912,-,,,,True,2,0.021803116,6.1582327,108.69913,2629912,,,,
FDX,,113.7,800,3048514,3151514,3048514,1.562945,113.52,1100,,USD,118.75,112.3,2.6,0.0209,2020-03-06,-,130.77086,199.32,88.69,0.98,10.439743,,,29646651392,1,,,116.01,,,121.26,2,0.42555413,118.75,112.3,116.01,121.26,2512717,-,,,,True,2.6,0.021441529,,147.90051,2512717,,,,
EMR,,46.99,800,5865000,4777769,5865000,1.39034,44.45,800,,USD,45.92,43.55,2,0.042,2020-02-13,-,58.140858,78.38,37.75,3.2,12.589532,,,27961135104,1,,,44.82,,0.5629,47.65,2,1.5216117,45.92,43.55,44.82,47.65,4418285,-,,,,True,1.97,0.041343126,13.038516,68.69299,4418285,,,,
BK,,32.97,900,7902614,6930909,7902614,1.108471,32.72,900,,USD,33.095,31.38,1.24,0.0368,2020-01-24,-,37.46514,53.61,26.4,1.91,7.9756103,,,28941168640,1,,,31.95,,0.2616,33.68,2,1.7553933,33.095,31.38,31.95,33.68,7365664,-,,,,True,1.18,0.03503563,7.250554,45.020584,7365664,,,,
KMI,,12.96,900,24247314,19329945,24247314,0.819477,12.52,4000,,USD,13.28,12.5,1,0.0718,2020-01-31,-,17.296572,22.58,9.42,4.51,12.989795,,,28834213888,1,,,13.05,,0.9896,13.92,2,2.182922,13.28,12.5,13.05,13.92,17537632,-,,,,True,1,0.07183908,13.232847,19.72708,17537632,,,,
GM,,19.38,1800,21601328,15277950,21601328,1.304829,19.1,3100,,USD,20.165,18.99,1.52,0.0731,2020-03-05,-,27.311428,41.9,14.33,4.23,3.9467213,,,27522539520,1,,,19.5,,0.3326,20.78,2,0.20054752,20.165,18.99,19.5,20.78,16851979,-,,,,True,1.52,0.07314725,4.214442,33.80394,16851979,,,,
DD,,33.99,1300,7793557,8271029,7793557,1.109263,32.71,800,,USD,33.52,32.25,1.2,0.0357,2020-02-27,-,41.450287,83.72487,23.75,3.2,8.317136,,,24044898304,1,,,32.39,,,34.1,2,1.1177435,33.52,32.25,32.39,34.1,7337334,-,,,,True,2.16,0.063343115,48.82883,58.664013,7337334,,,,
MET,,28.89,800,10335414,7941525,10335414,1.119556,27.05,1100,,USD,29.02,27.64,1.76,0.057600003,2020-02-03,-,38.873714,53.28,22.85,3.38,4.3188853,,,25551599616,1,,,31.33,,0.2871,30.57,2,0.3670152,29.02,27.64,31.33,30.57,5230021,-,,,,True,1.74,0.05691855,4.6039605,46.429634,5230021,,,,
COF,,45.47,1100,5327014,3675232,5327014,1.262074,44.51,1400,,USD,46.63,44,1.6,0.0317,2020-02-07,-,76.74771,107.59,38,1.89,3.9365637,,,20424255488,1,,,46.43,,0.1452,50.42,2,0.9135508,46.63,44,46.43,50.42,7227673,-,,,,True,1.6,0.031733442,4.044171,92.23102,7227673,,,,
DOW,,27.44,1200,10341828,7262038,10341828,,27.1,1000,,USD,28.27,26.94,2.8,0.09770001,2020-02-27,-,36.430286,60.52,21.95,,8.953643,,,20082067456,1,,,27.84,,,29.24,2,0.4675576,28.27,26.94,27.84,29.24,10321222,-,,,,True,2.1,0.071819425,,47.20029,10321222,,,,
AIG,,21.99,1100,10584942,7669080,10584942,1.154394,21.75,4000,,USD,22.87,21.01,1.28,0.052800003,2020-03-13,-,36.03943,58.66,16.07,2.14,4.220703,,,18709116928,1,,,22.7,,0.3469,24.25,2,0.37585112,22.87,21.01,22.7,24.25,10434776,-,,,,True,1.28,0.052783504,5.771902,48.72562,10434776,,,,
F,,4.46,38800,150606800,86316711,150606800,1.159936,4.44,40000,,USD,4.77,4.36,,,2020-01-29,-,6.345714,10.56,3.96,5.37,5.1764708,,,17445693440,1,,,4.63,,60,4.83,4,0.1119031,4.77,4.36,4.63,4.83,118026956,-,,,,True,0.6,0.12422361,440.00003,8.328394,118026956,,,,
SLB,,12.7,1200,24302528,18392217,24302528,1.722882,12.75,1300,,USD,13.19,12.165,2,0.14829999,2020-02-11,-,22.792286,48.88,11.87,3.63,13.114584,,,17476933632,1,,,13.09,,,13.49,2,0.53093946,13.19,12.165,13.09,13.49,24512283,-,,,,True,2,0.14825797,,32.708687,24512283,,,,
SPG,,47.65,3000,7383342,3973746,7383342,0.673,47,800,,USD,51.33,46.02,8.4,0.17860001,2020-02-13,-,101.38343,186.4,43.52,4.3,6.4262295,,,14435118080,1,,,50.75,,1.2188,54.86,2,2.5428765,51.33,46.02,50.75,54.86,8524461,-,,,,True,8.3,0.1512942,6.9074893,136.60751,8524461,,,,
KHC,,23.84,1800,11242085,10070690,11242085,1.090433,23.55,900,,USD,24.385,23.5,1.6,0.0647,2020-03-12,-,25.105429,33.78,19.99,,10.251082,,,28931276800,1,,,24.02,,1.0127,24.74,2,1.1583167,24.385,23.5,24.02,24.74,6098568,-,,,,True,1.6,0.0646726,14.987342,28.829855,6098568,,,,
OXY,,11.14,1000,45612000,24375496,45612000,1.046714,10.93,2900,,USD,11.17,10.12,0.44,0.038,2020-03-09,-,24.78,68.83,9,5.21,-5.507692,,,9614716928,1,,,11.04,,,11.58,2,0.4714714,11.17,10.12,11.04,11.58,39496723,-,,,,True,3.14,0.27115718,,37.23022,39496723,,,,
OEF,,114.17,1200,1438114,1170679,1438114,,111.77,1300,,USD,116.27,112.72,,,-,-,130.41257,152.58,101.87,,,,,,1,,118.5,114.53,,,118.62,2,,116.27,112.72,114.53,118.62,1470184,-,,,5193087488,True,1.979,0.016683526,,137.10408,1470184,,,0.020299999,
